NAME,GS<br> follow link to MSigDB,GS DETAILS,SIZE,ES,NES,NOM p-val,FDR q-val,FWER p-val,RANK AT MAX,LEADING EDGE
AICA-RIBOSIDURIA%PATHWHIZ%PW000082,AICA-RIBOSIDURIA%PATHWHIZ%PW000082,,33,0.3577445,1.0893487,0.32302406,0.65698105,1,3870,"tags=36%, list=26%, signal=49%"
TRANSLESION SYNTHESIS BY Y FAMILY DNA POLYMERASES BYPASSES LESIONS ON DNA TEMPLATE%REACTOME DATABASE ID RELEASE 83%110313,TRANSLESION SYNTHESIS BY Y FAMILY DNA POLYMERASES BYPASSES LESIONS ON DNA TEMPLATE%REACTOME DATABASE ID RELEASE 83%110313,,37,0.357736,1.0892552,0.3127148,0.65665597,1,3307,"tags=30%, list=22%, signal=38%"
NEURAL RETINA DEVELOPMENT%GOBP%GO:0003407,NEURAL RETINA DEVELOPMENT%GOBP%GO:0003407,,15,0.43137035,1.0890424,0.34464285,0.65664774,1,928,"tags=13%, list=6%, signal=14%"
RNA POLYMERASE I TRANSCRIPTION INITIATION%REACTOME DATABASE ID RELEASE 83%73762,RNA POLYMERASE I TRANSCRIPTION INITIATION%REACTOME DATABASE ID RELEASE 83%73762,,43,0.34892306,1.0887892,0.31833333,0.6567871,1,2580,"tags=23%, list=17%, signal=28%"
PYRIDINE-CONTAINING COMPOUND BIOSYNTHETIC PROCESS%GOBP%GO:0072525,PYRIDINE-CONTAINING COMPOUND BIOSYNTHETIC PROCESS%GOBP%GO:0072525,,18,0.4216483,1.0886506,0.32347825,0.65659386,1,2761,"tags=28%, list=19%, signal=34%"
REACTIVE OXYGEN SPECIES METABOLIC PROCESS%GOBP%GO:0072593,REACTIVE OXYGEN SPECIES METABOLIC PROCESS%GOBP%GO:0072593,,42,0.3496137,1.0883628,0.30582523,0.6568188,1,1380,"tags=21%, list=9%, signal=24%"
REGULATION OF DNA REPLICATION%GOBP%GO:0006275,REGULATION OF DNA REPLICATION%GOBP%GO:0006275,,101,0.30052182,1.0878147,0.2933526,0.65777314,1,3011,"tags=27%, list=20%, signal=33%"
NEGATIVE REGULATION OF DOUBLE-STRAND BREAK REPAIR VIA HOMOLOGOUS RECOMBINATION%GOBP%GO:2000042,NEGATIVE REGULATION OF DOUBLE-STRAND BREAK REPAIR VIA HOMOLOGOUS RECOMBINATION%GOBP%GO:2000042,,21,0.4054211,1.0870603,0.33448875,0.65932125,1,2210,"tags=29%, list=15%, signal=34%"
PYRIDINE NUCLEOTIDE METABOLIC PROCESS%GOBP%GO:0019362,PYRIDINE NUCLEOTIDE METABOLIC PROCESS%GOBP%GO:0019362,,46,0.34763402,1.0868412,0.31490788,0.65934294,1,2817,"tags=26%, list=19%, signal=32%"
AUTOPHAGOSOME ASSEMBLY%GOBP%GO:0000045,AUTOPHAGOSOME ASSEMBLY%GOBP%GO:0000045,,57,0.32755548,1.0862468,0.3089431,0.6605071,1,3257,"tags=32%, list=22%, signal=40%"
SALLA DISEASE INFANTILE SIALIC ACID STORAGE DISEASE%SMPDB%SMP0000240,SALLA DISEASE INFANTILE SIALIC ACID STORAGE DISEASE%SMPDB%SMP0000240,,16,0.4400526,1.0861224,0.37567085,0.6602788,1,427,"tags=25%, list=3%, signal=26%"
EPIGENETIC REGULATION OF GENE EXPRESSION%GOBP%GO:0040029,EPIGENETIC REGULATION OF GENE EXPRESSION%GOBP%GO:0040029,,122,0.29401878,1.084528,0.29076922,0.664276,1,2955,"tags=24%, list=20%, signal=29%"
SYNAPTIC VESICLE ENDOCYTOSIS%GOBP%GO:0048488,SYNAPTIC VESICLE ENDOCYTOSIS%GOBP%GO:0048488,,34,0.36463332,1.0839968,0.33389544,0.6652465,1,2363,"tags=29%, list=16%, signal=35%"
EUKARYOTIC TRANSCRIPTION INITIATION%WIKIPATHWAYS_20220510%WP405%HOMO SAPIENS,EUKARYOTIC TRANSCRIPTION INITIATION%WIKIPATHWAYS_20220510%WP405%HOMO SAPIENS,,33,0.3662977,1.0839505,0.34177214,0.66480964,1,1183,"tags=15%, list=8%, signal=16%"
REGULATION OF TELOMERASE RNA LOCALIZATION TO CAJAL BODY%GOBP%GO:1904872,REGULATION OF TELOMERASE RNA LOCALIZATION TO CAJAL BODY%GOBP%GO:1904872,,18,0.42170796,1.0834442,0.33633092,0.66567236,1,4411,"tags=50%, list=30%, signal=71%"
PID_RB_1PATHWAY%MSIGDB_C2%PID_RB_1PATHWAY,PID_RB_1PATHWAY%MSIGDB_C2%PID_RB_1PATHWAY,,47,0.3392069,1.0833272,0.32396695,0.6654092,1,2533,"tags=28%, list=17%, signal=33%"
PRESYNAPTIC ENDOCYTOSIS%GOBP%GO:0140238,PRESYNAPTIC ENDOCYTOSIS%GOBP%GO:0140238,,34,0.36463332,1.0827875,0.3493976,0.66638154,1,2363,"tags=29%, list=16%, signal=35%"
NEGATIVE REGULATION OF I-KAPPAB KINASE/NF-KAPPAB SIGNALING%GOBP%GO:0043124,NEGATIVE REGULATION OF I-KAPPAB KINASE/NF-KAPPAB SIGNALING%GOBP%GO:0043124,,36,0.35838982,1.0825933,0.34775087,0.66636425,1,1878,"tags=19%, list=13%, signal=22%"
PRESYNAPTIC PHASE OF HOMOLOGOUS DNA PAIRING AND STRAND EXCHANGE%REACTOME%R-HSA-5693616.4,PRESYNAPTIC PHASE OF HOMOLOGOUS DNA PAIRING AND STRAND EXCHANGE%REACTOME%R-HSA-5693616.4,,38,0.34947595,1.082261,0.32160804,0.66677266,1,4171,"tags=34%, list=28%, signal=47%"
TRANSCRIPTION REGULATION BY BZIP TRANSCRIPTION FACTOR%PANTHER PATHWAY%P00055,TRANSCRIPTION REGULATION BY BZIP TRANSCRIPTION FACTOR%PANTHER PATHWAY%P00055,,43,0.34491655,1.0820439,0.29917356,0.66679436,1,1347,"tags=16%, list=9%, signal=18%"
SPINDLE CHECKPOINT SIGNALING%GOBP%GO:0031577,SPINDLE CHECKPOINT SIGNALING%GOBP%GO:0031577,,25,0.39073807,1.0820163,0.35551664,0.66628075,1,5214,"tags=64%, list=35%, signal=99%"
POSITIVE REGULATION OF MICROTUBULE POLYMERIZATION OR DEPOLYMERIZATION%GOBP%GO:0031112,POSITIVE REGULATION OF MICROTUBULE POLYMERIZATION OR DEPOLYMERIZATION%GOBP%GO:0031112,,28,0.37651733,1.0818745,0.34991422,0.6660767,1,3898,"tags=43%, list=26%, signal=58%"
SIGNALING BY FGFR%REACTOME%R-HSA-190236.2,SIGNALING BY FGFR%REACTOME%R-HSA-190236.2,,56,0.3253428,1.0817897,0.31270903,0.665738,1,1347,"tags=20%, list=9%, signal=22%"
TRANS-GOLGI NETWORK VESICLE BUDDING%REACTOME%R-HSA-199992.3,TRANS-GOLGI NETWORK VESICLE BUDDING%REACTOME%R-HSA-199992.3,,70,0.31502873,1.0806214,0.29042906,0.6684969,1,2387,"tags=30%, list=16%, signal=36%"
REGULATION OF PEPTIDE HORMONE SECRETION%GOBP%GO:0090276,REGULATION OF PEPTIDE HORMONE SECRETION%GOBP%GO:0090276,,61,0.32417455,1.0803236,0.30592105,0.66877854,1,3063,"tags=31%, list=21%, signal=39%"
MELATONIN METABOLISM AND EFFECTS%WIKIPATHWAYS_20220510%WP3298%HOMO SAPIENS,MELATONIN METABOLISM AND EFFECTS%WIKIPATHWAYS_20220510%WP3298%HOMO SAPIENS,,25,0.39032573,1.0800264,0.35,0.66900283,1,2882,"tags=32%, list=19%, signal=40%"
ACTIN FILAMENT BUNDLE ORGANIZATION%GOBP%GO:0061572,ACTIN FILAMENT BUNDLE ORGANIZATION%GOBP%GO:0061572,,47,0.3384998,1.0797851,0.31365937,0.6691004,1,3403,"tags=36%, list=23%, signal=47%"
REGULATION OF CENTROSOME DUPLICATION%GOBP%GO:0010824,REGULATION OF CENTROSOME DUPLICATION%GOBP%GO:0010824,,38,0.35323954,1.079668,0.3476874,0.66882235,1,3156,"tags=32%, list=21%, signal=40%"
MEMBRANE BIOGENESIS%GOBP%GO:0044091,MEMBRANE BIOGENESIS%GOBP%GO:0044091,,53,0.3269038,1.0784572,0.33680555,0.671691,1,2022,"tags=28%, list=14%, signal=33%"
HALLMARK_FATTY_ACID_METABOLISM%MSIGDBHALLMARK%HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_FATTY_ACID_METABOLISM%MSIGDBHALLMARK%HALLMARK_FATTY_ACID_METABOLISM,,91,0.30124366,1.0784291,0.29938272,0.67117,1,1719,"tags=21%, list=12%, signal=23%"
REGULATION OF HISTONE DEACETYLATION%GOBP%GO:0031063,REGULATION OF HISTONE DEACETYLATION%GOBP%GO:0031063,,28,0.37996435,1.0782863,0.34275618,0.67100376,1,2533,"tags=29%, list=17%, signal=34%"
NEURAL CREST DIFFERENTIATION%WIKIPATHWAYS_20220510%WP2064%HOMO SAPIENS,NEURAL CREST DIFFERENTIATION%WIKIPATHWAYS_20220510%WP2064%HOMO SAPIENS,,49,0.33746725,1.0774856,0.3218391,0.672663,1,2827,"tags=33%, list=19%, signal=40%"
NEGATIVE REGULATION OF INTRINSIC APOPTOTIC SIGNALING PATHWAY%GOBP%GO:2001243,NEGATIVE REGULATION OF INTRINSIC APOPTOTIC SIGNALING PATHWAY%GOBP%GO:2001243,,71,0.31375343,1.076953,0.33385828,0.6736109,1,3919,"tags=37%, list=26%, signal=50%"
DEPYRIMIDINATION%REACTOME DATABASE ID RELEASE 83%73928,DEPYRIMIDINATION%REACTOME DATABASE ID RELEASE 83%73928,,24,0.38144034,1.0760283,0.3173759,0.6757441,1,3974,"tags=38%, list=27%, signal=51%"
MRNA 3'-END PROCESSING%REACTOME%R-HSA-72187.5,MRNA 3'-END PROCESSING%REACTOME%R-HSA-72187.5,,55,0.32757127,1.0758008,0.32847896,0.6757997,1,4402,"tags=33%, list=30%, signal=46%"
CARGO RECOGNITION FOR CLATHRIN-MEDIATED ENDOCYTOSIS%REACTOME DATABASE ID RELEASE 83%8856825,CARGO RECOGNITION FOR CLATHRIN-MEDIATED ENDOCYTOSIS%REACTOME DATABASE ID RELEASE 83%8856825,,81,0.30332226,1.0751249,0.30491802,0.6771716,1,2410,"tags=27%, list=16%, signal=32%"
REGULATION OF TELOMERASE ACTIVITY%GOBP%GO:0051972,REGULATION OF TELOMERASE ACTIVITY%GOBP%GO:0051972,,45,0.3358695,1.0750692,0.34504792,0.6767215,1,4738,"tags=42%, list=32%, signal=62%"
NEGATIVE REGULATION OF CHROMOSOME SEGREGATION%GOBP%GO:0051985,NEGATIVE REGULATION OF CHROMOSOME SEGREGATION%GOBP%GO:0051985,,26,0.3822602,1.0750458,0.33333334,0.67619663,1,5214,"tags=62%, list=35%, signal=95%"
POSITIVE REGULATION OF INSULIN SECRETION%GOBP%GO:0032024,POSITIVE REGULATION OF INSULIN SECRETION%GOBP%GO:0032024,,21,0.39387393,1.0748608,0.35078534,0.6761734,1,2856,"tags=33%, list=19%, signal=41%"
NEGATIVE REGULATION OF CELLULAR RESPONSE TO INSULIN STIMULUS%GOBP%GO:1900077,NEGATIVE REGULATION OF CELLULAR RESPONSE TO INSULIN STIMULUS%GOBP%GO:1900077,,24,0.3895431,1.0746847,0.34879726,0.6761134,1,1911,"tags=29%, list=13%, signal=33%"
PROTEIN DEACETYLATION%GOBP%GO:0006476,PROTEIN DEACETYLATION%GOBP%GO:0006476,,43,0.3468236,1.0746351,0.3528428,0.6756668,1,2137,"tags=23%, list=14%, signal=27%"
REGULATION OF PEPTIDE SECRETION%GOBP%GO:0002791,REGULATION OF PEPTIDE SECRETION%GOBP%GO:0002791,,62,0.32195237,1.0741236,0.31260794,0.67655796,1,3063,"tags=31%, list=21%, signal=38%"
TUMOR SUPPRESSOR ACTIVITY OF SMARCB1%WIKIPATHWAYS_20220510%WP4204%HOMO SAPIENS,TUMOR SUPPRESSOR ACTIVITY OF SMARCB1%WIKIPATHWAYS_20220510%WP4204%HOMO SAPIENS,,25,0.38508943,1.0740067,0.36660618,0.6763117,1,2868,"tags=36%, list=19%, signal=45%"
HISTONE DEACETYLATION%GOBP%GO:0016575,HISTONE DEACETYLATION%GOBP%GO:0016575,,38,0.35269108,1.0738465,0.32642487,0.6761911,1,2137,"tags=24%, list=14%, signal=28%"
ASSEMBLY OF THE ORC COMPLEX AT THE ORIGIN OF REPLICATION%REACTOME DATABASE ID RELEASE 83%68616,ASSEMBLY OF THE ORC COMPLEX AT THE ORIGIN OF REPLICATION%REACTOME DATABASE ID RELEASE 83%68616,,21,0.40295324,1.0737941,0.35262206,0.6757654,1,2136,"tags=19%, list=14%, signal=22%"
PLATELET DENSE GRANULE ORGANIZATION%GOBP%GO:0060155,PLATELET DENSE GRANULE ORGANIZATION%GOBP%GO:0060155,,22,0.39725897,1.0736799,0.35852373,0.67548966,1,3640,"tags=41%, list=25%, signal=54%"
NEGATIVE REGULATION OF TOR SIGNALING%GOBP%GO:0032007,NEGATIVE REGULATION OF TOR SIGNALING%GOBP%GO:0032007,,49,0.33562583,1.0736723,0.3298969,0.67492145,1,1779,"tags=27%, list=12%, signal=30%"
NEGATIVE REGULATION OF TORC1 SIGNALING%GOBP%GO:1904262,NEGATIVE REGULATION OF TORC1 SIGNALING%GOBP%GO:1904262,,24,0.39420173,1.0736595,0.36474696,0.6743636,1,2282,"tags=38%, list=15%, signal=44%"
LOSS OF PROTEINS REQUIRED FOR INTERPHASE MICROTUBULE ORGANIZATION FROM THE CENTROSOME%REACTOME%R-HSA-380284.1,LOSS OF PROTEINS REQUIRED FOR INTERPHASE MICROTUBULE ORGANIZATION FROM THE CENTROSOME%REACTOME%R-HSA-380284.1,,67,0.31954274,1.0731587,0.3338816,0.6752277,1,4397,"tags=40%, list=30%, signal=57%"
PROTEIN STABILIZATION%GOBP%GO:0050821,PROTEIN STABILIZATION%GOBP%GO:0050821,,176,0.27550933,1.0728565,0.28017884,0.6754984,1,3672,"tags=30%, list=25%, signal=39%"
ADENYLOSUCCINATE LYASE DEFICIENCY%SMPDB%SMP0000167,ADENYLOSUCCINATE LYASE DEFICIENCY%SMPDB%SMP0000167,,33,0.3577445,1.0728341,0.352459,0.674985,1,3870,"tags=36%, list=26%, signal=49%"
REGULATION OF GENERATION OF PRECURSOR METABOLITES AND ENERGY%GOBP%GO:0043467,REGULATION OF GENERATION OF PRECURSOR METABOLITES AND ENERGY%GOBP%GO:0043467,,88,0.2996378,1.0727469,0.3024,0.6746487,1,1897,"tags=24%, list=13%, signal=27%"
LOSS OF NLP FROM MITOTIC CENTROSOMES%REACTOME%R-HSA-380259.1,LOSS OF NLP FROM MITOTIC CENTROSOMES%REACTOME%R-HSA-380259.1,,67,0.31954274,1.0724849,0.31078905,0.67486304,1,4397,"tags=40%, list=30%, signal=57%"
NEGATIVE REGULATION OF MRNA METABOLIC PROCESS%GOBP%GO:1903312,NEGATIVE REGULATION OF MRNA METABOLIC PROCESS%GOBP%GO:1903312,,63,0.3207101,1.0713075,0.33774835,0.67766243,1,3288,"tags=29%, list=22%, signal=37%"
POSITIVE REGULATION OF DNA BIOSYNTHETIC PROCESS%GOBP%GO:2000573,POSITIVE REGULATION OF DNA BIOSYNTHETIC PROCESS%GOBP%GO:2000573,,60,0.31884155,1.070765,0.3253205,0.67865026,1,2881,"tags=27%, list=19%, signal=33%"
MACROMOLECULE METHYLATION%GOBP%GO:0043414,MACROMOLECULE METHYLATION%GOBP%GO:0043414,,182,0.27529532,1.0707413,0.29721814,0.6781319,1,4613,"tags=36%, list=31%, signal=51%"
NEGATIVE REGULATION OF METAPHASE/ANAPHASE TRANSITION OF CELL CYCLE%GOBP%GO:1902100,NEGATIVE REGULATION OF METAPHASE/ANAPHASE TRANSITION OF CELL CYCLE%GOBP%GO:1902100,,26,0.3822602,1.070487,0.35506004,0.6782635,1,5214,"tags=62%, list=35%, signal=95%"
REGULATION OF HORMONE SECRETION%GOBP%GO:0046883,REGULATION OF HORMONE SECRETION%GOBP%GO:0046883,,84,0.30694216,1.06963,0.3343949,0.6801219,1,3259,"tags=30%, list=22%, signal=38%"
BILE ACID METABOLIC PROCESS%GOBP%GO:0008206,BILE ACID METABOLIC PROCESS%GOBP%GO:0008206,,19,0.39812183,1.0693809,0.36330274,0.6802147,1,1388,"tags=26%, list=9%, signal=29%"
POST-TRANSLATIONAL MODIFICATION: SYNTHESIS OF GPI-ANCHORED PROTEINS%REACTOME DATABASE ID RELEASE 83%163125,POST-TRANSLATIONAL MODIFICATION: SYNTHESIS OF GPI-ANCHORED PROTEINS%REACTOME DATABASE ID RELEASE 83%163125,,48,0.33485892,1.0693805,0.3316913,0.6796319,1,994,"tags=13%, list=7%, signal=13%"
MICROTUBULE CYTOSKELETON ORGANIZATION INVOLVED IN MITOSIS%GOBP%GO:1902850,MICROTUBULE CYTOSKELETON ORGANIZATION INVOLVED IN MITOSIS%GOBP%GO:1902850,,109,0.295754,1.0690541,0.3084112,0.67997473,1,4684,"tags=45%, list=32%, signal=65%"
ERYTHROCYTE HOMEOSTASIS%GOBP%GO:0034101,ERYTHROCYTE HOMEOSTASIS%GOBP%GO:0034101,,43,0.34492788,1.068924,0.36842105,0.6797747,1,3145,"tags=33%, list=21%, signal=41%"
CLEAVAGE OF THE DAMAGED PYRIMIDINE%REACTOME DATABASE ID RELEASE 83%110329,CLEAVAGE OF THE DAMAGED PYRIMIDINE%REACTOME DATABASE ID RELEASE 83%110329,,24,0.38144034,1.0678936,0.36197442,0.6821392,1,3974,"tags=38%, list=27%, signal=51%"
HEDGEHOG 'OFF' STATE%REACTOME%R-HSA-5610787.1,HEDGEHOG 'OFF' STATE%REACTOME%R-HSA-5610787.1,,92,0.29829326,1.0671846,0.3144654,0.68357164,1,2744,"tags=28%, list=19%, signal=34%"
XANTHINURIA TYPE II%PATHWHIZ%PW000489,XANTHINURIA TYPE II%PATHWHIZ%PW000489,,33,0.3577445,1.0668771,0.36734694,0.68387973,1,3870,"tags=36%, list=26%, signal=49%"
FLUOROPYRIMIDINE ACTIVITY%WIKIPATHWAYS_20220510%WP1601%HOMO SAPIENS,FLUOROPYRIMIDINE ACTIVITY%WIKIPATHWAYS_20220510%WP1601%HOMO SAPIENS,,23,0.38271388,1.0668658,0.3586207,0.6833229,1,2263,"tags=26%, list=15%, signal=31%"
DEFECTIVE INTRINSIC PATHWAY FOR APOPTOSIS%REACTOME%R-HSA-9734009.1,DEFECTIVE INTRINSIC PATHWAY FOR APOPTOSIS%REACTOME%R-HSA-9734009.1,,22,0.38822132,1.0667757,0.36254296,0.68299365,1,4263,"tags=59%, list=29%, signal=83%"
MRNA SPLICE SITE SELECTION%GOBP%GO:0006376,MRNA SPLICE SITE SELECTION%GOBP%GO:0006376,,25,0.3769089,1.06625,0.36020583,0.6839321,1,1494,"tags=24%, list=10%, signal=27%"
ICOSANOID METABOLIC PROCESS%GOBP%GO:0006690,ICOSANOID METABOLIC PROCESS%GOBP%GO:0006690,,53,0.3252442,1.066116,0.33500838,0.683736,1,1492,"tags=21%, list=10%, signal=23%"
MITOCHONDRIAL FUSION%GOBP%GO:0008053,MITOCHONDRIAL FUSION%GOBP%GO:0008053,,18,0.41031647,1.0660257,0.3772242,0.68340397,1,3142,"tags=28%, list=21%, signal=35%"
NONGENOTROPIC ANDROGEN SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%NONGENOTROPIC ANDROGEN SIGNALING,NONGENOTROPIC ANDROGEN SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%NONGENOTROPIC ANDROGEN SIGNALING,,27,0.37678027,1.065914,0.37585035,0.6831639,1,2154,"tags=22%, list=15%, signal=26%"
REGULATION OF PROTEIN DEACETYLATION%GOBP%GO:0090311,REGULATION OF PROTEIN DEACETYLATION%GOBP%GO:0090311,,41,0.3467461,1.0658888,0.3557047,0.68265826,1,2533,"tags=27%, list=17%, signal=32%"
OVARIAN TUMOR DOMAIN PROTEASES%REACTOME DATABASE ID RELEASE 83%5689896,OVARIAN TUMOR DOMAIN PROTEASES%REACTOME DATABASE ID RELEASE 83%5689896,,36,0.35712808,1.0658255,0.35213676,0.6822435,1,4020,"tags=36%, list=27%, signal=49%"
REGULATION OF PEPTIDE TRANSPORT%GOBP%GO:0090087,REGULATION OF PEPTIDE TRANSPORT%GOBP%GO:0090087,,63,0.31867108,1.0657007,0.33333334,0.6820188,1,3063,"tags=30%, list=21%, signal=38%"
PARKINSON DISEASE%PANTHER PATHWAY%P00049,PARKINSON DISEASE%PANTHER PATHWAY%P00049,,36,0.35088918,1.0656866,0.36301368,0.6814793,1,3147,"tags=36%, list=21%, signal=46%"
NEGATIVE REGULATION OF CHROMOSOME SEPARATION%GOBP%GO:1905819,NEGATIVE REGULATION OF CHROMOSOME SEPARATION%GOBP%GO:1905819,,26,0.3822602,1.0656857,0.3523654,0.68090266,1,5214,"tags=62%, list=35%, signal=95%"
DISEASES OF PROGRAMMED CELL DEATH%REACTOME%R-HSA-9645723.6,DISEASES OF PROGRAMMED CELL DEATH%REACTOME%R-HSA-9645723.6,,53,0.32708505,1.0654942,0.33709678,0.68088174,1,4263,"tags=38%, list=29%, signal=53%"
AGGREPHAGY%REACTOME%R-HSA-9646399.3,AGGREPHAGY%REACTOME%R-HSA-9646399.3,,22,0.39440894,1.0653785,0.36551723,0.6806355,1,4337,"tags=55%, list=29%, signal=77%"
REGULATION OF ARP2/3 COMPLEX-MEDIATED ACTIN NUCLEATION%GOBP%GO:0034315,REGULATION OF ARP2/3 COMPLEX-MEDIATED ACTIN NUCLEATION%GOBP%GO:0034315,,25,0.38418552,1.0653756,0.35191637,0.68006647,1,1953,"tags=24%, list=13%, signal=28%"
NUCLEOTIDE CATABOLIC PROCESS%GOBP%GO:0009166,NUCLEOTIDE CATABOLIC PROCESS%GOBP%GO:0009166,,50,0.33083642,1.0652106,0.342812,0.67996025,1,4282,"tags=42%, list=29%, signal=59%"
MYOADENYLATE DEAMINASE DEFICIENCY%PATHWHIZ%PW000513,MYOADENYLATE DEAMINASE DEFICIENCY%PATHWHIZ%PW000513,,33,0.3577445,1.0650153,0.3327645,0.6799287,1,3870,"tags=36%, list=26%, signal=49%"
CYTOPLASMIC TRANSLATIONAL INITIATION%GOBP%GO:0002183,CYTOPLASMIC TRANSLATIONAL INITIATION%GOBP%GO:0002183,,30,0.37180468,1.0648342,0.3676976,0.6798838,1,5305,"tags=53%, list=36%, signal=83%"
POSITIVE REGULATION OF RNA SPLICING%GOBP%GO:0033120,POSITIVE REGULATION OF RNA SPLICING%GOBP%GO:0033120,,29,0.36506805,1.0640503,0.3723229,0.6815549,1,3559,"tags=41%, list=24%, signal=54%"
DNA DOUBLE STRAND BREAK RESPONSE%REACTOME DATABASE ID RELEASE 83%5693606,DNA DOUBLE STRAND BREAK RESPONSE%REACTOME DATABASE ID RELEASE 83%5693606,,50,0.32940638,1.0639309,0.34991708,0.68132377,1,2459,"tags=24%, list=17%, signal=29%"
DISEASES OF DNA REPAIR%REACTOME DATABASE ID RELEASE 83%9675135,DISEASES OF DNA REPAIR%REACTOME DATABASE ID RELEASE 83%9675135,,47,0.32898754,1.0638368,0.36868685,0.6810246,1,4171,"tags=34%, list=28%, signal=47%"
MITOCHONDRIAL DNA DEPLETION SYNDROME-3%SMPDB%SMP0000536,MITOCHONDRIAL DNA DEPLETION SYNDROME-3%SMPDB%SMP0000536,,33,0.3577445,1.0635821,0.34983498,0.6811855,1,3870,"tags=36%, list=26%, signal=49%"
DETERMINATION OF HEART LEFT/RIGHT ASYMMETRY%GOBP%GO:0061371,DETERMINATION OF HEART LEFT/RIGHT ASYMMETRY%GOBP%GO:0061371,,26,0.36868194,1.0635735,0.35726497,0.6806352,1,2915,"tags=31%, list=20%, signal=38%"
REGULATION OF NUCLEOTIDE METABOLIC PROCESS%GOBP%GO:0006140,REGULATION OF NUCLEOTIDE METABOLIC PROCESS%GOBP%GO:0006140,,55,0.32413042,1.0631219,0.35,0.68130285,1,1897,"tags=27%, list=13%, signal=31%"
UNSATURATED FATTY ACID METABOLIC PROCESS%GOBP%GO:0033559,UNSATURATED FATTY ACID METABOLIC PROCESS%GOBP%GO:0033559,,54,0.32522878,1.0630913,0.34223706,0.680804,1,1492,"tags=26%, list=10%, signal=29%"
INTERNAL PROTEIN AMINO ACID ACETYLATION%GOBP%GO:0006475,INTERNAL PROTEIN AMINO ACID ACETYLATION%GOBP%GO:0006475,,84,0.3016766,1.0630616,0.3348554,0.6803227,1,3062,"tags=26%, list=21%, signal=33%"
REGULATION OF EXECUTION PHASE OF APOPTOSIS%GOBP%GO:1900117,REGULATION OF EXECUTION PHASE OF APOPTOSIS%GOBP%GO:1900117,,20,0.39638442,1.0625619,0.3773913,0.6811966,1,2208,"tags=25%, list=15%, signal=29%"
REGULATION OF ESTABLISHMENT OF PROTEIN LOCALIZATION TO MITOCHONDRION%GOBP%GO:1903747,REGULATION OF ESTABLISHMENT OF PROTEIN LOCALIZATION TO MITOCHONDRION%GOBP%GO:1903747,,41,0.34761468,1.0625194,0.38240272,0.6807423,1,4087,"tags=49%, list=28%, signal=67%"
POSITIVE REGULATION OF DENDRITIC SPINE DEVELOPMENT%GOBP%GO:0060999,POSITIVE REGULATION OF DENDRITIC SPINE DEVELOPMENT%GOBP%GO:0060999,,16,0.42331246,1.0623412,0.38165137,0.6806786,1,2260,"tags=31%, list=15%, signal=37%"
MONOCARBOXYLIC ACID TRANSPORT%GOBP%GO:0015718,MONOCARBOXYLIC ACID TRANSPORT%GOBP%GO:0015718,,52,0.32875702,1.0621102,0.35032895,0.68076724,1,1939,"tags=23%, list=13%, signal=26%"
NEGATIVE REGULATION OF PROTEOLYSIS INVOLVED IN PROTEIN CATABOLIC PROCESS%GOBP%GO:1903051,NEGATIVE REGULATION OF PROTEOLYSIS INVOLVED IN PROTEIN CATABOLIC PROCESS%GOBP%GO:1903051,,54,0.32499355,1.0618982,0.35973597,0.680794,1,1658,"tags=22%, list=11%, signal=25%"
ADENINE PHOSPHORIBOSYLTRANSFERASE DEFICIENCY (APRT)%PATHWHIZ%PW000511,ADENINE PHOSPHORIBOSYLTRANSFERASE DEFICIENCY (APRT)%PATHWHIZ%PW000511,,33,0.3577445,1.0618066,0.35172415,0.680499,1,3870,"tags=36%, list=26%, signal=49%"
MOLYBDENUM COFACTOR DEFICIENCY%SMPDB%SMP0000203,MOLYBDENUM COFACTOR DEFICIENCY%SMPDB%SMP0000203,,33,0.3577445,1.0617836,0.35243055,0.68001187,1,3870,"tags=36%, list=26%, signal=49%"
CELLULAR RESPONSE TO AMINO ACID STIMULUS%GOBP%GO:0071230,CELLULAR RESPONSE TO AMINO ACID STIMULUS%GOBP%GO:0071230,,32,0.35635793,1.0615418,0.37258348,0.68012995,1,4270,"tags=44%, list=29%, signal=61%"
PURINE NUCLEOTIDE CATABOLIC PROCESS%GOBP%GO:0006195,PURINE NUCLEOTIDE CATABOLIC PROCESS%GOBP%GO:0006195,,34,0.35783273,1.0615185,0.34991422,0.6796288,1,2234,"tags=24%, list=15%, signal=28%"
CLATHRIN-DEPENDENT ENDOCYTOSIS%GOBP%GO:0072583,CLATHRIN-DEPENDENT ENDOCYTOSIS%GOBP%GO:0072583,,24,0.38641745,1.061419,0.37989777,0.6793577,1,2315,"tags=33%, list=16%, signal=39%"
REGULATION OF RETINOBLASTOMA PROTEIN%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%REGULATION OF RETINOBLASTOMA PROTEIN,REGULATION OF RETINOBLASTOMA PROTEIN%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%REGULATION OF RETINOBLASTOMA PROTEIN,,55,0.3254753,1.0612528,0.32274246,0.6792486,1,2533,"tags=27%, list=17%, signal=33%"
